generated_on,display_name,disch_port,route,sparta_route_code,vessel_type,load_month,load_window,load_date,sailing_speed,sailing_distance,load_days,canal,canal_days,voyage_days,arrival_date,blend_cost_month,blend_seasonality,ebob_structure,blend_cost_diff,blend_cost_diff_color,blend_cost_close,gas_nap,gas_nap_color,gas_nap_close,qty_restr_disch,qty_restr_disch_units,density,qty_restr,qty_restr_units,c_p,loaded_qty,loaded_qty_units,ta_arb_month,ta_arb,ta_arb_color,ta_arb_close,ta_arb_units,e_w_arb_month,e_w,e_w_color,e_w_close,e_w_units,freight,freight_units,incoterms,flat_rate,overage,lumpsum,rate,corr_inhibitor_chk,corr_inhibitor,antioxident_chk,antioxident,load_port_dem_chk,load_port_dem,load_vessel_insp_chk,load_vessel_insp,load_losses_chk,load_losses,working_capital_costs_chk,working_capital_costs,disch_vessel_insp_chk,disch_vessel_insp,vessel_losses_chk,vessel_losses,disch_losses_chk,disch_losses,blend_cost_month_date,arrival_month,ebob_spread,ebob_spread_value,price_vs_ebob,rbob_spread,rbob_spread_value,price_vs_rbob,sing92_spread,sing92_spread_value,price_vs_sing92,rbob,dlvd_price,dlvd_price_color,dlvd_price_close,dlvd_price_units,dlvd_price_decimals,pricing_month,quote_destination,sales_price_month,sale_price,gen_blender_margin,pseudo_fob_refinery,pseudo_cif_refinery,margin_units,cotd_gen_blender_margin,cotd_gen_blender_margin_color,cotd_gen_blender_margin_close,load_region
21.09.21 13:13,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.15287016,RED,0,3.71,GREEN,0,36000,mt,0.7238304,36000,mt,37000,36000,mt,Feb.22,17.84,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.214472396,FALSE,NULL,TRUE,0.550645899,TRUE,0.277777778,TRUE,0.32167,TRUE,0.440643836,TRUE,0.277777778,TRUE,0.160835,TRUE,0.32167,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.41,-28.30031415,NULL,NULL,NULL,NULL,-28.3,GREEN,-29.59554951,cpg,-28.30031415,Apr,Apr RBOB Future,Mar,-27,1.300314155,4.300314155,6.300314155,cpg,-0.545235359,RED,1.845549514,ARA
21.09.21 13:28,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.20309076,RED,0,3.56,GREEN,0,36000,mt,0.7238381,36000,mt,37000,36000,mt,Feb.22,18.07,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.214472396,FALSE,NULL,TRUE,0.550645899,TRUE,0.277777778,TRUE,0.322065,TRUE,0.441184932,TRUE,0.277777778,TRUE,0.1610325,TRUE,0.322065,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.41,-28.54890329,NULL,NULL,NULL,NULL,-28.55,GREEN,-29.59554951,cpg,-28.54890329,Apr,Apr RBOB Future,Mar,-27,1.548903292,4.548903292,6.548903292,cpg,-0.296646222,RED,1.845549514,ARA
21.09.21 13:43,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.17658954,RED,0,4.12,GREEN,0,36000,mt,0.7238734,36000,mt,37000,36000,mt,Feb.22,18.04,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.214464711,FALSE,NULL,TRUE,0.550600985,TRUE,0.277777778,TRUE,0.321785,TRUE,0.44080137,TRUE,0.277777778,TRUE,0.1608925,TRUE,0.321785,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.41,-28.55445476,NULL,NULL,NULL,NULL,-28.55,GREEN,-29.59554951,cpg,-28.55445476,Apr,Apr RBOB Future,Mar,-27,1.554454765,4.554454765,6.554454765,cpg,-0.291094749,RED,1.845549514,ARA
21.09.21 13:58,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-17.40898787,RED,0,3.17,GREEN,0,36000,mt,0.7137484,36000,mt,37000,36000,mt,Feb.22,18.09,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.216700227,FALSE,NULL,TRUE,0.563665582,TRUE,0.277777778,TRUE,0.319575,TRUE,0.437773973,TRUE,0.277777778,TRUE,0.1597875,TRUE,0.319575,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.4,-28.36830669,NULL,NULL,NULL,NULL,-28.35,GREEN,-29.59554951,cpg,-28.36830669,Apr,Apr RBOB Future,Mar,-27,1.368306692,4.368306692,6.368306692,cpg,-0.477242822,RED,1.845549514,ARA
21.09.21 14:13,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-17.63701239,RED,0,2.97,GREEN,0,36000,mt,0.7228913,36000,mt,37000,36000,mt,Feb.22,17.93,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.214678808,FALSE,NULL,TRUE,0.551852192,TRUE,0.277777778,TRUE,0.319035,TRUE,0.437034247,TRUE,0.277777778,TRUE,0.1595175,TRUE,0.319035,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.41,-28.25011318,NULL,NULL,NULL,NULL,-28.25,GREEN,-29.59554951,cpg,-28.25011318,Apr,Apr RBOB Future,Mar,-27,1.250113181,4.250113181,6.250113181,cpg,-0.595436333,RED,1.845549514,ARA
21.09.21 14:28,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-17.43236752,RED,0,2.79,GREEN,0,36000,mt,0.7237776,36000,mt,37000,36000,mt,Feb.22,18,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.21448557,FALSE,NULL,TRUE,0.550722886,TRUE,0.277777778,TRUE,0.317705,TRUE,0.435212329,TRUE,0.277777778,TRUE,0.1588525,TRUE,0.317705,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.41,-28.27349164,NULL,NULL,NULL,NULL,-28.25,GREEN,-29.59554951,cpg,-28.27349164,Apr,Apr RBOB Future,Mar,-27,1.273491635,4.273491635,6.273491635,cpg,-0.572057879,RED,1.845549514,ARA
21.09.21 14:43,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-17.87479283,RED,0,3.98,GREEN,0,36000,mt,0.7134543,36000,mt,37000,36000,mt,Feb.22,17.82,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.21448557,FALSE,NULL,TRUE,0.550722886,TRUE,0.277777778,TRUE,0.317725,TRUE,0.435239726,TRUE,0.277777778,TRUE,0.1588625,TRUE,0.317725,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.34,-28.2443786,NULL,NULL,NULL,NULL,-28.25,GREEN,-29.59554951,cpg,-28.2443786,Apr,Apr RBOB Future,Mar,-27,1.244378597,4.244378597,6.244378597,cpg,-0.601170917,RED,1.845549514,ARA
21.09.21 14:58,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-17.21840836,RED,0,2.5,GREEN,0,36000,mt,0.7133773,36000,mt,37000,36000,mt,Feb.22,17.79,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.21676611,FALSE,NULL,TRUE,0.56405061,TRUE,0.277777778,TRUE,0.31688,TRUE,0.434082192,TRUE,0.277777778,TRUE,0.15844,TRUE,0.31688,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.43,-27.97283434,NULL,NULL,NULL,NULL,-27.95,GREEN,-29.59554951,cpg,-27.97283434,Apr,Apr RBOB Future,Mar,-27,0.972834343,3.972834343,5.972834343,cpg,-0.872715171,RED,1.845549514,ARA
21.09.21 15:13,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.14753029,RED,0,4.2,GREEN,0,36000,mt,0.7230804,36000,mt,37000,36000,mt,Feb.22,17.76,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.216783368,FALSE,NULL,TRUE,0.564151469,TRUE,0.277777778,TRUE,0.31881,TRUE,0.436726027,TRUE,0.277777778,TRUE,0.159405,TRUE,0.31881,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.4,-28.17493751,NULL,NULL,NULL,NULL,-28.15,GREEN,-29.59554951,cpg,-28.17493751,Apr,Apr RBOB Future,Mar,-27,1.174937514,4.174937514,6.174937514,cpg,-0.670612,RED,1.845549514,ARA
21.09.21 15:28,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.49524809,RED,0,4.94,GREEN,0,36000,mt,0.722668,36000,mt,37000,36000,mt,Feb.22,17.78,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.214727569,FALSE,NULL,TRUE,0.552137153,TRUE,0.277777778,TRUE,0.31997,TRUE,0.438315068,TRUE,0.277777778,TRUE,0.159985,TRUE,0.31997,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.38,-28.30399983,NULL,NULL,NULL,NULL,-28.3,GREEN,-29.59554951,cpg,-28.30399983,Apr,Apr RBOB Future,Mar,-27,1.303999826,4.303999826,6.303999826,cpg,-0.541549688,RED,1.845549514,ARA
21.09.21 15:43,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.27831483,RED,0,4.45,GREEN,0,36000,mt,0.7135276,36000,mt,37000,36000,mt,Feb.22,17.85,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.216749685,FALSE,NULL,TRUE,0.563954618,TRUE,0.277777778,TRUE,0.319995,TRUE,0.438349315,TRUE,0.277777778,TRUE,0.1599975,TRUE,0.319995,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.38,-28.31572927,NULL,NULL,NULL,NULL,-28.3,GREEN,-29.59554951,cpg,-28.31572927,Apr,Apr RBOB Future,Mar,-27,1.315729266,4.315729266,6.315729266,cpg,-0.529820249,RED,1.845549514,ARA
21.09.21 15:58,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.42494386,RED,0,4.77,GREEN,0,36000,mt,0.7206057,36000,mt,37000,36000,mt,Feb.22,17.7,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.215179326,FALSE,NULL,TRUE,0.554777275,TRUE,0.277777778,TRUE,0.32052,TRUE,0.439068493,TRUE,0.277777778,TRUE,0.16026,TRUE,0.32052,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.38,-28.21261579,NULL,NULL,NULL,NULL,-28.2,GREEN,-29.59554951,cpg,-28.21261579,Apr,Apr RBOB Future,Mar,-27,1.212615786,4.212615786,6.212615786,cpg,-0.632933728,RED,1.845549514,ARA
21.09.21 16:13,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.43914816,RED,0,4.63,GREEN,0,36000,mt,0.7182988,36000,mt,37000,36000,mt,Feb.22,17.74,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.215687739,FALSE,NULL,TRUE,0.557748494,TRUE,0.277777778,TRUE,0.32058,TRUE,0.439150685,TRUE,0.277777778,TRUE,0.16029,TRUE,0.32058,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.4,-28.27561364,NULL,NULL,NULL,NULL,-28.3,GREEN,-29.59554951,cpg,-28.27561364,Apr,Apr RBOB Future,Mar,-27,1.275613638,4.275613638,6.275613638,cpg,-0.569935876,RED,1.845549514,ARA
21.09.21 16:28,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.31356577,RED,0,4.48,GREEN,0,36000,mt,0.7160608,36000,mt,37000,36000,mt,Feb.22,17.79,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.216184098,FALSE,NULL,TRUE,0.560649267,TRUE,0.277777778,TRUE,0.320765,TRUE,0.43940411,TRUE,0.277777778,TRUE,0.1603825,TRUE,0.320765,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.38,-28.26855779,NULL,NULL,NULL,NULL,-28.25,GREEN,-29.59554951,cpg,-28.26855779,Apr,Apr RBOB Future,Mar,-27,1.268557795,4.268557795,6.268557795,cpg,-0.57699172,RED,1.845549514,ARA
21.09.21 16:43,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.41950764,RED,0,4.7,GREEN,0,36000,mt,0.7210333,36000,mt,37000,36000,mt,Feb.22,17.82,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.215085446,FALSE,NULL,TRUE,0.554228628,TRUE,0.277777778,TRUE,0.320295,TRUE,0.438760274,TRUE,0.277777778,TRUE,0.1601475,TRUE,0.320295,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.38,-28.33149494,NULL,NULL,NULL,NULL,-28.35,GREEN,-29.59554951,cpg,-28.33149494,Apr,Apr RBOB Future,Mar,-27,1.331494936,4.331494936,6.331494936,cpg,-0.514054578,RED,1.845549514,ARA
21.09.21 16:58,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-18.2778329,RED,0,4.55,GREEN,0,36000,mt,0.7160648,36000,mt,37000,36000,mt,Feb.22,17.95,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.215085446,FALSE,NULL,TRUE,0.554228628,TRUE,0.277777778,TRUE,0.319955,TRUE,0.438294521,TRUE,0.277777778,TRUE,0.1599775,TRUE,0.319955,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.38,-28.40533333,NULL,NULL,NULL,NULL,-28.4,GREEN,-29.59554951,cpg,-28.40533333,Apr,Apr RBOB Future,Mar,-27,1.405333333,4.405333333,6.405333333,cpg,-0.440216181,RED,1.845549514,ARA
21.09.21 17:13,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-17.95366292,RED,0,4.24,GREEN,0,36000,mt,0.7229674,36000,mt,37000,36000,mt,Feb.22,18.01,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,138.1234768,WS,DES,13.31,0.5,680216.6864,18.89490796,TRUE,0.214662198,FALSE,NULL,TRUE,0.551755118,TRUE,0.277777778,TRUE,0.31982,TRUE,0.438109589,TRUE,0.277777778,TRUE,0.15991,TRUE,0.31982,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.4,-28.40974929,NULL,NULL,NULL,NULL,-28.4,GREEN,-29.59554951,cpg,-28.40974929,Apr,Apr RBOB Future,Mar,-27,1.409749288,4.409749288,6.409749288,cpg,-0.435800226,RED,1.845549514,ARA
